83.97.20.21 - - [23/Sep/2020:12:28:59 +0200] "GET / HTTP/1.0" 200 612 "-" "-"
162.142.125.49 - - [23/Sep/2020:12:52:35 +0200] "GET / HTTP/1.1" 200 13 "-" "-"
162.142.125.49 - - [23/Sep/2020:12:52:36 +0200] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
80.248.225.154 - - [23/Sep/2020:13:02:08 +0200] "GET / HTTP/1.1" 200 13 "-" "Scrapy/1.7.2 (+https://scrapy.org)"
167.248.133.33 - - [23/Sep/2020:13:35:08 +0200] "GET / HTTP/1.1" 200 13 "-" "-"
167.248.133.33 - - [23/Sep/2020:13:35:08 +0200] "GET / HTTP/1.1" 200 13 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
119.159.225.189 - - [23/Sep/2020:14:05:25 +0200] "GET /admin//config.php HTTP/1.1" 404 232 "-" "curl/7.15.5 (x86_64-redhat-linux-gnu) libcurl/7.15.5 OpenSSL/0.9.8b zlib/1.2.3 libidn/0.6.5"
83.97.20.21 - - [23/Sep/2020:14:16:57 +0200] "GET / HTTP/1.1" 200 13 "-" "-"
223.149.254.246 - - [23/Sep/2020:14:46:49 +0200] "POST /GponForm/diag_Form?images/ HTTP/1.1" 404 152 "-" "Hello, World"
223.149.254.246 - - [23/Sep/2020:14:46:50 +0200] "/tmp/gpon80&ipv=0" 400 182 "-" "-"
45.148.10.28 - - [23/Sep/2020:15:10:54 +0200] "GET /config/getuser?index=0 HTTP/1.1" 404 152 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0"
192.241.237.210 - - [23/Sep/2020:15:13:50 +0200] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.1" 404 209 "-" "Mozilla/5.0 zgrab/0.x"
193.239.147.184 - - [23/Sep/2020:15:32:41 +0200] "HEAD / HTTP/1.0" 200 0 "-" "-"
185.216.140.6 - - [23/Sep/2020:16:56:20 +0200] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 zgrab/0.x"
